goe_folder1,goe_folder2,file_name,zinfo
/ODM/,BSU,BSU,BSU
/ODM/,BRD,BRD,BRD
/ODM/,.OD/,OD,OD
/ODM/,02.DRD,OD,OD
/ODM/,02.DRD,OfferingDefinition,OD
/ODM/,.AVL/,AVL,AVL
/ODM/,.AVL_QVL/,AVL,AVL
/ODM/,.HW_SPEC/,.pdf,HW_SPEC
/ODM/,.HW_SPEC/,.doc,HW_SPEC
/ODM/,.HW_SPEC/,.docx,HW_SPEC
/ODM/,.HW_SPEC/,.xlsx,HW_SPEC
/ODM/,.SCHEDULE/,schedule,SCHEDULE
/ODM/,.SCHEDULE/,日程,SCHEDULE
/ODM/,.SCHEDULE/,Schedule,SCHEDULE
/ODM/,.SCHEDULE/,xlsx,SCHEDULE
FW,DUE1N,.zip,
FW,GUE1N,.zip,
FW,GP70N,.zip,
FW,DP70N,.zip,
/ODM/,BugCurve,Curve,BugCurve
/ODM/,.BIOS/BIN,Folder,BIOS
/ODM/,.BIOS/BIN,.msg,BIOS
/ODM/,.BIOS/BIN,.exe,BIOS
/ODM/,.BIOS/BIN,.ZIP,BIOS
/ODM/,.BIOS/BIN,.doc,BIOS
/ODM/,.BIOS/BIN,.zip,BIOS
/ODM/,.BIOS/BIN,.7z,BIOS
/ODM/,.BIOS/BIN,.rar,BIOS
/ODM/,.EC/BIN/,.ZIP,EC
/ODM/,.EC/BIN/,.doc,EC
/ODM/,.EC/BIN/,.zip,EC
/ODM/,.EC/BIN/,.rar,EC
/ODM/,.EC/BIN/,.7z,EC
/ODM/,.EC/,.ZIP,EC
/ODM/,.EC/,.doc,EC
/ODM/,.EC/,.zip,EC
/ODM/,.EC/,.rar,EC
/ODM/,.EC/,.7z,EC
/ODM/,ECFW/,.zip,EC
/ODM/,/19EC/BIN,.docx,EC
ラインアップ計画書,18H2,Lineup_Biz,CY191Q
ラインアップ計画書,19H1,Lineup_Biz,CY192Q
ラインアップ計画書,19H2,Lineup_Biz,CY201Q
ラインアップ計画書,20H1,Lineup_Biz,CY202Q
ラインアップ計画書,20H2,Lineup_Biz,CY211Q
ラインアップ計画書,21H1,Lineup_Biz,CY212Q
ラインアップ計画書,21H2,Lineup_Biz,CY221Q
ラインアップ計画書,22H1,Lineup_Biz,CY223Q
ラインアップ計画書,22H2,Lineup_Biz,CY224Q
ラインアップ計画書,2022FY3Q,Lineup_Biz,CY224Q
ラインアップ計画書,FY2223Q4,Lineup_Biz,CY231Q
ラインアップ計画書,2023H1,Lineup_Biz,CY232Q
ラインアップ計画書,2023H2,Lineup_Biz,CY234Q
ラインアップ計画書,FY1819Q4,ConPC_FY,CY191Q
ラインアップ計画書,FY1920Q1,ConPC_FY,CY192Q
ラインアップ計画書,FY1920Q3,ConPC_FY,CY193Q
ラインアップ計画書,FY1920Q4,ConPC_FY,CY201Q
ラインアップ計画書,FY2021Q1,ConPC_FY,CY202Q
ラインアップ計画書,FY2021Q3,ConPC_FY,CY203Q
ラインアップ計画書,FY2021Q4,ConPC_FY,CY211Q
ラインアップ計画書,FY2122Q1,ConPC_FY,CY212Q
ラインアップ計画書,FY2122Q3,ConPC_FY,CY214Q
ラインアップ計画書,FY2122Q4,ConPC_FY,CY221Q
ラインアップ計画書,FY2223Q2,ConPC_FY,CY223Q
ラインアップ計画書,FY2223Q4,ConPC_FY,CY231Q
ラインアップ計画書,FY2324Q1,ConPC_FY,CY232Q
ラインアップ計画書,FY2324Q3,ConPC_FY,CY234Q
/40:型番一覧/,FY1819Q4,.xlsx,CY191Q
/40:型番一覧/,FY1920Q1,.xlsx,CY192Q
/40:型番一覧/,FY1920Q3,.xlsx,CY193Q
/40:型番一覧/,FY1920Q4,.xlsx,CY201Q
/40:型番一覧/,FY2021Q1,.xlsx,CY202Q
/40:型番一覧/,FY2021Q3,.xlsx,CY203Q
/40:型番一覧/,FY2021Q4,.xlsx,CY211Q
/40:型番一覧/,FY2122Q1,.xlsx,CY212Q
/40:型番一覧/,FY2122Q3,.xlsx,CY214Q
/40:型番一覧/,FY2122Q4,.xlsx,CY221Q
/40:型番一覧/,FY2223Q2,.xlsx,CY223Q
/40:型番一覧/,FY2223Q4,.xlsx,CY231Q
/40:型番一覧/,FY2324Q1,.xlsx,CY232Q
/40:型番一覧/,FY2324Q3,.xlsx,CY234Q
/実行計画書/,CY23/3Q4Q/,PreloadDevelopmentPlan,"241Q\コマ\Preload開発実行計画書
241Q\コン\Preload開発実行計画書"
/実行計画書/,CY23/3Q4Q/,PreloadDevelopmentPlan,"234Q\コマ\Preload開発実行計画書
234Q\コン\Preload開発実行計画書"
/実行計画書/,CY21/4Q,CY4Q2021_1Q2022PldDevPlan,214Q\コン\Preload開発実行計画書
/実行計画書/,CY223Q4Q/,.xlsx,222Q3Q
/実行計画書/,FY2324H1_(CY232Q),.xlsx,232Q
/実行計画書/,FY2425H1,.xlsx,242Q
/実行計画書/,CY21/2Q/,212q-PldDevPlan,212Q3Q\コマ\Preload開発実行計画書
/実行計画書/,CY22/1Q/,2021H2_PldDevPlan,221Q\コマ\Preload開発実行計画書
/実行計画書/,FY2022ComConPreload開発実行計画書,223Q4Q Com_Con Preload Development Plan,224Q\コマ\Preload開発実行計画書
/実行計画書/,/CY23/1Q/,231QCom_ConPreload,"231Q\コマ\Preload開発実行計画書
231Q\コン\Preload開発実行計画書"
/実行計画書/,CY23/1Q2Q/,231QCom_ConPreload,"231Q\コマ\Preload開発実行計画書
231Q\コン\Preload開発実行計画書"
/実行計画書/,CY23/1Q2Q/,232QCom_ConPreload,"232Q\コマ\Preload開発実行計画書
232Q\コン\Preload開発実行計画書"
ホットロード計画書,21CY4Q,AP_,214Q\コン
ホットロード計画書,22CY1Q,AP_,221Q\コン
ホットロード計画書,22CY3Q,AP_,222Q3Q\コン
ホットロード計画書,23CY1Q,SW計画書,231Q\コン
ホットロード計画書,23CY2Q-3Q,SW計画書,232Q\コン
ホットロード計画書,24CY1Q,SW計画書,241Q\コン
